Task name,Assignee,Description,Due date,Epic,Parent task,Priority,Status,Sub-task
Repo & tooling setup,Cristina Semikina,"Next + React + Tailwind, folder structure",,Project foundation,,High,Done,"Init Next project (https://www.notion.so/Init-Next-project-3250d6836937800e81fdf5084ec714d3?pvs=21), Install Tailwind + shadcn/ui (https://www.notion.so/Install-Tailwind-shadcn-ui-3250d6836937808182ebe0b129cad36d?pvs=21)"
Init Next project,Cristina Semikina,"npm create next, install deps",,Project foundation,Repo & tooling setup (https://www.notion.so/Repo-tooling-setup-3250d6836937806985d7de80dacd9825?pvs=21),High,Done,
Install Tailwind + shadcn/ui,Cristina Semikina,"Config tailwind.config, base styles",,Project foundation,Repo & tooling setup (https://www.notion.so/Repo-tooling-setup-3250d6836937806985d7de80dacd9825?pvs=21),High,Done,
Mock data layer — 3 use cases,,JSON files for wildfire / seismic / glacier. One file per use case,,Project foundation,,High,Not started,"Wildfire JSON dataset (https://www.notion.so/Wildfire-JSON-dataset-3250d68369378047b80af425df19e75a?pvs=21), Alert events per use case (https://www.notion.so/Alert-events-per-use-case-3250d68369378009abefcccdda947e0a?pvs=21), Seismic JSON dataset (https://www.notion.so/Seismic-JSON-dataset-3250d683693780928293cf3d1e2d2575?pvs=21), Glacier JSON dataset (https://www.notion.so/Glacier-JSON-dataset-3250d6836937802a82c0cb20e4a8bb12?pvs=21), Message history per node (https://www.notion.so/Message-history-per-node-3250d68369378049ba56f5c5a407d3b1?pvs=21), Shared node envelope fields (https://www.notion.so/Shared-node-envelope-fields-3250d683693780a693aadc0bd6a45866?pvs=21)"
Wildfire JSON dataset,,"15 nodes, fields: temp, humidity, smoke_ppm, co_ppm, wind_speed, wind_dir",,Project foundation,Mock data layer — 3 use cases (https://www.notion.so/Mock-data-layer-3-use-cases-3250d6836937808987a4f70cd14b97d1?pvs=21),High,Not started,
App shell + navigation,,"Persistent top bar, left sidebar, routing between 6 screens",,Project foundation,,High,Not started,"Top navbar (https://www.notion.so/Top-navbar-3250d68369378072bcb5c0cab214b025?pvs=21), Left sidebar (https://www.notion.so/Left-sidebar-3250d68369378059bb69e20eded439d4?pvs=21), React Router setup (https://www.notion.so/React-Router-setup-3250d683693780768c43d598c1ad2122?pvs=21)"
Alert events per use case,,8–12 pre-built alert events (triggered/resolved) per dataset,,Project foundation,Mock data layer — 3 use cases (https://www.notion.so/Mock-data-layer-3-use-cases-3250d6836937808987a4f70cd14b97d1?pvs=21),Medium,Not started,
Seismic JSON dataset,,"12 nodes, fields: vibration_mms, frequency_hz, tilt_angle, acceleration_g, magnitude",,Project foundation,Mock data layer — 3 use cases (https://www.notion.so/Mock-data-layer-3-use-cases-3250d6836937808987a4f70cd14b97d1?pvs=21),High,Not started,
Use-case switcher,,Dropdown in navbar swaps the active JSON dataset across all screens,,Project foundation,,High,Not started,"UseCaseContext (React context) (https://www.notion.so/UseCaseContext-React-context-3250d683693780feb754f60da3a0c941?pvs=21), Switcher dropdown UI (https://www.notion.so/Switcher-dropdown-UI-3250d683693780a28d81e58ed4902578?pvs=21)"
Glacier JSON dataset,,"10 nodes, fields: surface_temp, melt_rate_mm, movement_mm, crack_detected, snow_depth_cm",,Project foundation,Mock data layer — 3 use cases (https://www.notion.so/Mock-data-layer-3-use-cases-3250d6836937808987a4f70cd14b97d1?pvs=21),High,Not started,
